Supplement,Effectiveness,Description
Olive Oil,Possibly Ineffective for,Obesity. Taking olive oil by mouth does not appear to reduce body weight or fat in people with obesity. Ear infection (otitis media). Applying olive oil drops into the ear does not appear to reduce pain in children with ear infections.
Omega-6 Fatty Acids,Possibly Ineffective for,"Heart disease. Higher intake of omega-6 fatty acids in the diet doesn't reduce the risk of heart disease. Infant development. Adding the omega-6 fatty acid called arachidonic acid to infant formula, along with an omega-3 fatty acid called docosahexaenoic acid (DHA), doesn't seem to improve brain development, vision, or growth in infants. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Higher intake of omega-6 fatty acids in the diet doesn't seem to lower cholesterol or triglyceride levels. Multiple sclerosis (MS). Taking omega-6 fatty acids does not seem to prevent the progression of MS."
Onion,Possibly Effective for,"Scarring. Applying a gel containing onion extract to the skin, alone or with other ingredients, for at least 10 weeks seems to improve the appearance of scars. But it's not clear what combination of ingredients or dose works best."
Onion,Possibly Ineffective for,Obesity. Eating onion or taking onion extract by mouth doesn't reduce body weight in people who are overweight or obese.
Oolong Tea,Likely Effective for,Mental alertness. Drinking oolong tea or other caffeinated beverages throughout the day seems to help maintain alertness and mental performance.
Orchic Extract,,
Oregano,Possibly Effective for,"High cholesterol. Clinical research shows that taking oregano after each meal for 3 months can reduce low-density lipoprotein (LDL or “bad”) cholesterol and increase high-density lipoprotein (HDL or “good”) cholesterol in people with high cholesterol. However, total cholesterol and triglyceride levels are not affected. Parasites in the intestines. Taking oil of oregano for 6 weeks can kill the parasites Blastocystis hominis, Entamoeba hartmanni, and Endolimax nana."
Oregon Grape,Possibly Effective for,"Scaly, itchy skin (psoriasis). Applying a specific Oregon grape extract cream (Relieva, Apollo Pharmaceutical) to the skin somewhat improves symptoms and quality of life in people with psoriasis."
Oriental Arborvitae,Insufficient Evidence for,Abnormally heavy bleeding during menstrual periods (menorrhagia). Anxiety. Asthma. Bleeding in the stomach or intestines. Burns. Cancer. Constipation. Cough. Early orgasm in men (premature ejaculation). Excessive sweating (hyperhidrosis). Headache. Hemorrhoids. Infection of the intestines by parasites. Insomnia. Male-pattern baldness (androgenic alopecia). Menstrual cramps (dysmenorrhea). Nausea and vomiting. Pain. Rheumatoid arthritis (RA). Seizure disorder (epilepsy). Short-term swelling (inflammation) of the airways in the lungs (acute bronchitis). Other conditions.
Ornamental Marigold,,
Ornithine,Possibly Effective for,Athletic performance. Taking ornithine by mouth might reduce fatigue and improve some measures of athletic performance.
Ornithine Ketoglutarate (Okg),Possibly Effective for,Burns. Taking ornithine ketoglutarate by mouth seems to improve wound healing in people with burns. Wound healing. Taking ornithine ketoglutarate by mouth seems to improve healing time and reduce complications in people undergoing major surgery.
Orris,,
Oscillococcinum,,
Osha,,
Ostarine,,
Ostrich Fern,Insufficient Evidence for,"Sore throat, when used as a gargle. Wounds, when applied to the skin. Boils, when applied to the skin. Other conditions."
Oswego Tea,,
Ox-Eye Daisy,,
Padang Cassia,Insufficient Evidence for,"A grouping of symptoms that increase the risk of diabetes, heart disease, and stroke (metabolic syndrome). Early research shows that taking Padang cassia can lower systolic blood pressure (the top number), blood sugar, and body fat in people with metabolic syndrome. It does not seem to lower diastolic blood pressure (the bottom number) or cholesterol. Obesity. Early research shows that taking Padang cassia can help to reduce body fat in people who are overweight or obese. A hormonal disorder that causes enlarged ovaries with cysts (polycystic ovary syndrome or PCOS). Early research shows that taking Padang cassia can help regulate the menstrual cycle in women with polycystic ovary syndrome (PCOS). Diabetes. Prediabetes."
Pagoda Tree,,
Palm Oil,Likely Effective for,Vitamin A deficiency. Adding red palm oil to the diets of children or during pregnancy in developing countries reduces the chance of having low vitamin A levels. It also seems to help increase vitamin A levels in those who already have low levels.
Palmitoylethanolamide (Pea),Possibly Effective for,Osteoarthritis. Taking PEA by mouth seems to reduce pain and improve function in people with osteoarthritis. Chronic pain. Taking PEA by mouth seems to reduce pain in people with chronic pain from different causes.
Palmitoylethanolamide (Pea),Possibly Ineffective for,Injury to the spinal cord. Taking PEA by mouth doesn't reduce pain or spasticity of the spine in people with spinal cord injury.
Panax Ginseng,Possibly Effective for,"Memory and thinking skills (cognitive function). Taking Panax ginseng by mouth might improve thinking, arithmetic skills, and reaction times in healthy, middle-aged people but not in young adults. Taking panax ginseng alone doesn't seem to help memory, but taking it with ginkgo leaf extract seems to improve memory in healthy people between the ages of 38 and 66. Erectile dysfunction (ED). Taking Panax ginseng by mouth seems to improve sexual function in adults with ED. Flu (influenza). Taking a specific Panax ginseng extract by mouth appears to reduce the risk of getting a cold or the flu. But it doesn't seem to reduce flu symptoms or the length of the illness. Fatigue in people with multiple sclerosis (MS). Taking Panax ginseng by mouth daily for 3 months reduces feelings of tiredness and improves quality of life in females with MS. Increasing response to sexual stimuli in healthy people. Taking Panax ginseng alone or with other ingredients by mouth seems to improve sexual arousal and satisfaction in postmenopausal adults. It also seems to improve sexual desire in females who report sexual problems."
Panax Ginseng,Possibly Ineffective for,Athletic performance. Taking Panax ginseng by mouth for up to 8 weeks doesn't improve athletic performance.
Panax Notoginseng,Possibly Effective for,"Chest pain (angina). Taking Panax notoginseng by mouth or by IV might reduce chest pain. But research evaluating this has been low quality, so it's not clear how well it works. IV products can only be given by a healthcare provider. Bleeding within the skull (intracranial hemorrhage). Taking Panax notoginseng by IV might improve recovery and reduce the risk of death in people that have had bleeding in the brain. But research evaluating this has been low quality, so it's not clear how well it works. IV products can only be given by a healthcare provider. Stroke. Taking Panax notoginseng by mouth or by IV might improve recovery after a stroke. But research evaluating this has been low quality, so it's not clear how well it works. IV products can only be given by a healthcare provider."
